date,Open,High,Low,Close,Volume
2000-01-04,18.6,18.8,18.0,18.0,151000
2000-01-05,17.8,18.0,16.9,17.7,178000
2000-01-06,17.7,18.0,17.2,17.9,175001
2000-01-07,18.4,18.4,17.9,17.9,277100
2000-01-10,18.2,18.2,17.6,17.7,263775
2000-01-11,18.0,18.0,17.4,17.5,468002
2000-01-12,17.7,17.7,17.3,17.6,253000
2000-01-13,17.6,17.7,17.3,17.3,378969
2000-01-14,17.5,17.9,17.0,17.6,370000
2000-01-15,17.7,18.3,17.7,18.0,474001
2000-01-17,18.0,18.2,17.8,17.9,600000
2000-01-18,18.0,18.9,18.0,18.7,589100
2000-01-19,18.7,20.0,18.7,19.6,1754100
2000-01-20,19.6,19.6,18.3,18.9,710020
2000-01-21,18.5,18.7,18.2,18.6,366110
2000-01-24,18.7,18.7,18.1,18.6,628000
2000-01-25,18.5,18.6,18.1,18.5,771000
2000-01-26,19.6,19.7,19.6,19.7,1234004
2000-01-27,21.0,21.0,21.0,21.0,1197866
2000-01-28,22.4,22.4,20.1,21.8,3397429
2000-01-29,21.0,22.0,21.0,21.3,1151556
2000-01-31,21.4,21.5,20.6,20.8,835000
2000-02-01,21.3,21.4,21.0,21.0,771110
2000-02-09,21.4,21.4,21.1,21.4,1013000
2000-02-10,21.5,22.8,21.5,22.8,1872000
2000-02-11,23.7,24.2,23.5,23.8,2032000
2000-02-14,22.2,23.7,22.2,22.7,856002
2000-02-15,22.7,22.8,21.5,21.5,484010
2000-02-16,22.2,22.2,21.3,21.6,966308
2000-02-17,21.7,22.3,21.7,22.1,1258001
2000-02-18,22.4,22.6,20.6,21.2,1023694
2000-02-19,21.1,21.2,20.5,21.0,1308000
2000-02-21,21.9,22.0,21.2,21.3,1596000
2000-02-22,21.5,21.5,19.9,19.9,899409
2000-02-23,19.7,20.3,19.0,19.0,512201
2000-02-24,19.2,19.6,18.4,18.7,453674
2000-02-25,18.7,18.9,18.0,18.0,404200
2000-02-29,18.6,18.6,17.5,17.6,309001
2000-03-01,18.0,18.3,17.6,18.2,611000
2000-03-02,18.6,18.6,18.2,18.2,380201
2000-03-03,18.4,18.4,17.9,18.0,218040
2000-03-04,18.3,18.3,17.8,18.0,427606
2000-03-06,18.1,18.1,17.8,18.0,378000
2000-03-07,18.1,18.5,17.8,18.2,830001
2000-03-08,18.3,18.4,18.1,18.3,506000
2000-03-09,18.4,19.0,18.4,18.5,733002
2000-03-10,18.7,18.8,17.5,17.5,685165
2000-03-13,17.5,17.5,16.3,16.3,445464
2000-03-14,15.8,16.8,15.8,16.5,175019
2000-03-15,16.1,16.5,16.0,16.1,127001
2000-03-16,15.5,15.6,15.0,15.3,201000
2000-03-17,15.3,15.5,15.0,15.2,297000
2000-03-20,14.7,14.7,14.7,14.7,7195
2000-03-21,14.2,15.7,14.2,15.7,537122
2000-03-22,15.3,16.2,15.2,15.4,358000
2000-03-23,15.6,16.2,15.5,16.2,338001
2000-03-24,16.2,16.2,15.7,15.7,270010
2000-03-27,15.1,16.1,15.1,15.6,307001
2000-03-28,15.7,16.2,15.6,16.2,287000
2000-03-29,16.5,16.5,15.8,16.2,287400
2000-03-30,16.2,16.5,16.0,16.1,261002
2000-03-31,16.0,16.2,15.7,15.9,213596
2000-04-01,15.7,15.7,15.1,15.3,426023
2000-04-05,15.0,15.7,15.0,15.4,328000
2000-04-06,15.6,15.6,15.1,15.2,256550
2000-04-07,15.2,16.0,15.2,15.6,546232
2000-04-08,15.8,15.8,15.4,15.6,256071
2000-04-10,15.7,16.3,15.6,15.9,342000
2000-04-11,16.0,17.0,16.0,17.0,849006
2000-04-12,17.5,18.1,17.3,17.8,2125679
2000-04-13,16.6,17.4,16.6,16.8,423001
2000-04-14,16.6,16.9,16.0,16.2,282001
2000-04-15,15.3,15.7,15.1,15.2,329011
2000-04-17,14.8,15.6,14.75,14.9,143000
2000-04-18,15.3,15.6,15.1,15.6,221404
2000-04-19,15.6,15.7,15.1,15.3,172013
2000-04-20,15.3,15.4,15.0,15.2,125320
2000-04-21,15.5,15.5,15.0,15.5,142000
2000-04-24,15.6,15.6,15.2,15.4,51046
2000-04-25,15.3,15.8,15.0,15.4,326400
2000-04-26,15.5,16.4,15.4,15.8,983196
2000-04-27,16.2,16.8,15.9,16.4,1017014
2000-04-28,16.6,17.4,16.6,17.4,1217000
2000-04-29,17.2,17.2,16.6,17.0,575000
